School,Conference
Abilene Christian,Western Athletic
Adams State,Rocky Mountain
Adrian,Michigan
Air Force,Mountain West
Akron,Mid-American
Alabama,SEC
Alabama A&M,SWAC
Alabama State,SWAC
Albany,CAA
Albany State (GA),SIAC
Albion,Michigan
Albright,Mid Atlantic
Alcorn State,SWAC
Alderson-Broaddus,Mountain East
Alfred,Empire 8
Alfred State College,ECFC
Allegheny,Presidents'
Allen,SIAC
Alma College,Michigan
Alvernia University,Mid Atlantic
American,Patriot
American International,Northeast 10
Amherst College,NESCAC
Anderson (IN),Heartland
Angelo State,Lone Star
Anna Maria College,ECFC
Appalachian State,Sun Belt
Apprentice School,Independent DIII
Arizona,Pac-12
Arizona Christian,Sooner
Arizona State,Pac-12
Arkansas,SEC
Arkansas Baptist,Continental
Arkansas-Monticello,Great American
Arkansas-Pine Bluff,SWAC
Arkansas State,Sun Belt
Arkansas Tech,Great American
Army,FBS Independents
Ashland,Great Midwest Athletic
Assumption,Northeast 10
Auburn,SEC
Augsburg,Minnesota
Augustana (IL),CCIW
Augustana (SD),Northern Sun
Aurora,NACC
Austin College,American Southwest
Austin Peay,Atlantic Sun
Ave Maria,Sun
Averett,Old Dominion
Avila College,Kansas
Azusa Pacific,Great Northwest
Bacone College,Continental
Baker University,Heart of America
Baldwin-Wallace,Ohio
Ball State,Mid-American
Barton College,South Atlantic
Bates College,NESCAC
Baylor,Big 12
Becker College,
Beloit College,Midwest
Bemidji State,Northern Sun
Benedict College,SIAC
Benedictine College,Heart of America
Benedictine (IL),NACC
Bentley,Northeast 10
Berry College,Southern Athletic
Bethany Co,
Bethany (KS),Kansas
Bethany (WV),Presidents'
Bethel (KS),Kansas
Bethel (MN),Minnesota
Bethel (TN),Mid-South
Bethune-Cookman,SWAC
Birmingham-Southern,Southern Athletic
Blackburn,
Black Hills State,Rocky Mountain
Blinn College,
Bloomsburg,Pennsylvania State Athletic
Bluefield,Independent DII
Bluefield College,
Bluffton,Heartland
Boise State,Mountain West
Boston,Patriot
Boston College,ACC
Bowdoin,NESCAC
Bowling Green,Mid-American
Brevard College,USA South
Bridgewater State,MSCAC
Bridgewater (VA),Old Dominion
Brit Columbia,
Brockport State (NY),Empire 8
Brown,Ivy
Bryant,Big South
Bucknell,Patriot
Buena Vista,American Rivers
Buffalo,Mid-American
Buffalo State,Liberty League
Butler,Pioneer
Butler C.C.,
Butler County (KS),
BYU,FBS Independents
California,Pac-12
California (PA),Pennsylvania State Athletic
Cal Lutheran,So. Cal.
Cal Poly,Big Sky
Campbell,Big South
Capital,Ohio
Carleton,Minnesota
Carnegie Mellon,Presidents'
Carroll (WI),Midwest
Carson-Newman,South Atlantic
Carthage,CCIW
Case Western Reserve,Presidents'
Castleton State College,ECFC
Catawba,South Atlantic
Catholic University,NEWMAC
Central,American Rivers
Central Arkansas,Atlantic Sun
Central Connecticut,NEC
Central Methodist,Heart of America
Central Michigan,Mid-American
Central Missouri State,Mid America
Central Oklahoma,Mid America
Central State,SIAC
Central Washington,Lone Star
Centre,Southern Athletic
Chadron State,Rocky Mountain
Chapman,So. Cal.
Charleston Southern,Big South
Charleston (WV),Mountain East
Charlotte,Conference USA
Chattanooga,Southern
Cheyney,Pennsylvania State Athletic
Chicago,Midwest
Christopher Newport,New Jersey
Cincinnati,American Athletic
Cincinnati Christian,
Cisco College,
City College of San Francisco,Coast
Claremont,So. Cal.
Clarion,Pennsylvania State Athletic
Clark Atlanta,SIAC
Clemson,ACC
Coastal Carolina,Sun Belt
Coast Guard,NEWMAC
Coe,American Rivers
Colby,NESCAC
Colgate,Patriot
College of Charleston,
College of Faith,
College of Faith - Charlotte,
College of Idaho,
College of New Jersey,New Jersey
College of the Canyons,
Colorado,Pac-12
Colorado College,
Colorado Mesa,Rocky Mountain
Colorado Mines,Rocky Mountain
Colorado State,Mountain West
Colorado State-Pueblo,Rocky Mountain
Columbia,Ivy
Concord,Mountain East
Concordia (AL),
Concordia College (MI),
Concordia (IL),NACC
Concordia (MN),Minnesota
Concordia-Nebraska,
Concordia-St. Paul,Northern Sun
Concordia University,
Concordia (WI),NACC
Connecticut,FBS Independents
Cornell,Ivy
Cornell College (IA),Midwest
Crown College,Upper Midwest
Culver-Stockton,Heart of America
Cumberland,Mid-South
Cumberland College,
Curry,Commonwealth Coast
Dakota State,North Star
Dakota Wesleyan,
Dartmouth,Ivy
Davenport,GLIAC
Davidson,Pioneer
Dayton,Pioneer
Dean College,ECFC
Defiance,Heartland
Delaware,CAA
Delaware State,MEAC
Delaware Valley,Mid Atlantic
Delta State,Gulf South
Denison,North Coast
DePauw,North Coast
Dickinson,Centennial
Dickinson State,North Star
Doane College,
Drake,Pioneer
Dubuque,American Rivers
Duke,ACC
Duquesne,NEC
Earlham,
East,
East Carolina,American Athletic
East Central,Great American
Eastern Illinois,OVC
Eastern Kentucky,Atlantic Sun
Eastern Michigan,Mid-American
Eastern New Mexico,Lone Star
Eastern Oregon,
Eastern Washington,Big Sky
East Stroudsburg,Pennsylvania State Athletic
East Tennessee State,Southern
East Texas Baptist,American Southwest
Edinboro,Pennsylvania State Athletic
Edward Waters,SIAC
Elizabeth City State,CIAA
Elmhurst,CCIW
Elon,CAA
Emory & Henry,South Atlantic
Emporia State,Mid America
Endicott College,Commonwealth Coast
Erie Community College,
Erskine,South Atlantic
Eureka College,NACC
Evangel,Heart of America
Fairmont State,Mountain East
Faulkner,
Fayetteville State,CIAA
FDU-Florham,Mid Atlantic
Ferris State,GLIAC
Ferrum,Old Dominion
Findlay,Great Midwest Athletic
Fitchburg State,MSCAC
Florida,SEC
Florida A&M,SWAC
Florida Atlantic,Conference USA
Florida International,Conference USA
Florida Memorial University,Sun
Florida State,ACC
Florida Tech,
Fordham,Patriot
Fork Union,
Fort Hays State,Mid America
Fort Lewis,Rocky Mountain
Fort Valley State,SIAC
Framingham State,MSCAC
Franklin,Heartland
Franklin & Marshall,Centennial
Franklin Pierce,Northeast 10
Fresno State,Mountain West
Friends University,Kansas
Frostburg State,Mountain East
Furman,Southern
Gallaudet,ECFC
Gannon,Pennsylvania State Athletic
Garden City C.C.,
Gardner-Webb,Big South
Geneva College,Presidents'
George Fox University,Northwest
George Mason,
Georgetown,Patriot
Georgetown (KY),Mid-South
Georgia,SEC
Georgia Southern,Sun Belt
Georgia State,Sun Belt
Georgia Tech,ACC
Gettysburg,Centennial
Glenville State,Mountain East
Graceland University,Heart of America
Grambling,SWAC
Grand Valley State,GLIAC
Grand View,Heart of America
Greensboro,USA South
Greenville,Upper Midwest
Grinnell,Midwest
Grove City College,Presidents'
Guilford,Old Dominion
Gustavus Adolphus,Minnesota
Hamilton,NESCAC
Hamline,Minnesota
Hampden-Sydney,Old Dominion
Hampton,CAA
Hanover,Heartland
Harding,Great American
Hardin-Simmons,American Southwest
Hartwick,Empire 8
Harvard,Ivy
Haskell Indian Nations,Continental
Hawai'i,Mountain West
Heidelberg,Ohio
Henderson State,Great American
Hendrix College,Southern Athletic
Hilbert College,North Coast
Hillsdale,Great Midwest Athletic
Hinds C.C.,
Hiram,North Coast
Hobart,Liberty League
Holland College,
Holmes C.C.,
Holy Cross,Patriot
Hope,Michigan
Houston,American Athletic
Houston Christian,Southland
Howard,MEAC
Howard Payne,American Southwest
Humboldt State,
Huntingdon,USA South
Husson,Commonwealth Coast
Hutchinson C.C.,
Idaho,Big Sky
Idaho State,Big Sky
Illinois,Big Ten
Illinois College,Midwest
Illinois State,MVFC
Illinois Wesleyan,CCIW
Incarnate Word,Southland
Independence C.C.,
Indiana,Big Ten
Indiana (PA),Pennsylvania State Athletic
Indianapolis,Great Lakes
Indiana State,MVFC
Indiana Wesleyan,
Iona,
Iowa,Big Ten
Iowa Central C.C.,
Iowa State,Big 12
Iowa Wesleyan,Continental
Iowa Western C.C.,
Ithaca,Liberty League
Jackson State,SWAC
Jacksonville,
Jacksonville State,Atlantic Sun
James Madison,Sun Belt
Jamestown,
John Carroll,Ohio
Johns Hopkins,Centennial
Johnson C Smith,CIAA
Judson University,
Juniata,Centennial
Kalamazoo,Michigan
Kansas,Big 12
Kansas State,Big 12
Kansas Wesleyan University,Kansas
Keiser University,Sun
Kennesaw State,Atlantic Sun
Kent State,Mid-American
Kentucky,SEC
Kentucky State,SIAC
Kentucky Wesleyan,Great Midwest Athletic
Kenyon,North Coast
Keystone,ECFC
Kilgore J.C.,
King's College (PA),Mid Atlantic
Kutztown,Pennsylvania State Athletic
Lafayette,Patriot
LaGrange College,USA South
Lake Erie College,Great Midwest Athletic
Lake Forest,Midwest
Lamar,Southland
Lambuth,
Langston,
La Salle,
La Verne,So. Cal.
Lawrence,Midwest
Lawrence Tech,
Lebanon Valley,Mid Atlantic
Lehigh,Patriot
Lenoir-Rhyne,South Atlantic
Lewis & Clark,Northwest
Liberty,FBS Independents
Limestone,South Atlantic
Limestone College,
Lincoln (MO),Mid America
Lincoln (PA),CIAA
Lincoln University (CA),
Lindenwood,OVC
Lindenwood Belleville,
Lindenwood University,
Lindsey Wilson,Mid-South
Linfield,Northwest
LIU Post,NEC
Livingstone,CIAA
Livingstone College,
Lock Haven,Pennsylvania State Athletic
Long Island University,NEC
Louisburg,
Louisiana,Sun Belt
Louisiana College,
Louisiana Monroe,Sun Belt
Louisiana Tech,Conference USA
Louisville,ACC
LSU,SEC
Luther,American Rivers
Lycoming,Mid Atlantic
Lyon College,
Macalester,Minnesota
MacMurray College,
Madonna University,
Maine,CAA
Maine Maritime,
Malone,
Manchester,Heartland
Manitoba,
Mansfield,
Maranatha Baptist College,
Marian,
MARIAN (IN),
Marietta,Ohio
Marist,Pioneer
Marshall,Sun Belt
Mars Hill,South Atlantic
Martin Luther College,Upper Midwest
Mary Hardin-Baylor,American Southwest
Maryland,Big Ten
Maryland-Eastern Shore,MEAC
Maryville TN,USA South
Mass Maritime,MSCAC
Mayville State,North Star
McDaniel College,Centennial
McMurry,American Southwest
McNeese,Southland
Mcpherson College,Kansas
Memphis,American Athletic
Menlo,
Mercer,Southern
Merchant Marine,NEWMAC
Mercyhurst,Pennsylvania State Athletic
Merrimack,NEC
Methodist,USA South
Miami,ACC
Miami (OH),Mid-American
Michigan,Big Ten
Michigan State,Big Ten
Michigan Tech,GLIAC
Middlebury,NESCAC
Middle Georgia State College,
